Active electrons: 6
Active orbitals: 6
HF energy: -99.80772526444878
Energy minimum: -99.89954953961717

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| 0.020958612846903996
6^ 9^ 0 1 	| 0.0005623502757573261
6^ 11^ 0 1 	| -4.957105506595108e-16
8^ 7^ 0 1 	| 0.0005613144142377982
10^ 7^ 0 1 	| 1.5367912096729782e-16
8^ 9^ 0 1 	| -5.5700353125942494e-05
8^ 11^ 0 1 	| -4.3132315608121157e-16
10^ 9^ 0 1 	| -4.210958527778902e-17
10^ 11^ 0 1 	| 0.049488537454292846
6^ 8^ 0 2 	| -1.8677893600344937e-07
6^ 10^ 0 2 	| -3.345381897485537e-17
8^ 10^ 0 2 	| -3.162793897372726e-17
6^ 7^ 0 3 	| -0.0003998310878398369
6^ 9^ 0 3 	| -8.186409557434798e-05
6^ 11^ 0 3 	| 4.659848019697309e-16
8^ 7^ 0 3 	| -8.152841152350123e-05
10^ 7^ 0 3 	| 1.8564104785153314e-16
8^ 9^ 0 3 	| 4.005064799560583e-05
8^ 11^ 0 3 	| 1.238521348297326e-16
10^ 9^ 0 3 	| 2.609189086209906e-16
10^ 11^ 0 3 	| -0.04746119111335139
6^ 8^ 0 4 	| 1.2132826207289358e-17
6^ 10^ 0 4 	| -0.026541867526213188
8^ 10^ 0 4 	| -0.002670159614702791
6^ 7^ 0 5 	| 2.6461258105056285e-16
6^ 9^ 0 5 	| 6.182575089423153e-17
6^ 11^ 0 5 	| 0.005829724033353182
8^ 7^ 0 5 	| -5.431646755109434e-17
10^ 7^ 0 5 	| 0.0323576614547715
8^ 9^ 0 5 	| 3.165584993212856e-17
8^ 11^ 0 5 	| 0.0008216133676697362
10^ 9^ 0 5 	| 0.003490566565554195
10^ 11^ 0 5 	| 4.2911650518436024e-16
6^ 7^ 2 1 	| -0.0003996988717675649
6^ 9^ 2 1 	| -8.16379074364837e-05
6^ 11^ 2 1 	| -3.043484686893485e-16
8^ 7^ 2 1 	| -8.167902890827752e-05
10^ 7^ 2 1 	| -2.5214306970884345e-16
8^ 9^ 2 1 	| 4.002813849483774e-05
8^ 11^ 2 1 	| 2.4521621448840335e-18
10^ 9^ 2 1 	| -3.6547164213749243e-16
10^ 11^ 2 1 	| -0.047485278105486466
7^ 9^ 1 3 	| -1.8592055036063378e-07
7^ 11^ 1 3 	| 6.424580849929165e-17
9^ 11^ 1 3 	| 8.117966162199343e-18
6^ 7^ 4 1 	| 7.673426269382612e-16
6^ 9^ 4 1 	| -1.7591979368382588e-16
6^ 11^ 4 1 	| 0.03237567201926733
8^ 7^ 4 1 	| -8.618361888520316e-18
10^ 7^ 4 1 	| 0.005830644161748615
8^ 9^ 4 1 	| -5.219039609862184e-17
8^ 11^ 4 1 	| 0.0034924398764414203
10^ 9^ 4 1 	| 0.0008220367663245239
10^ 11^ 4 1 	| -2.2810324232002307e-17
7^ 9^ 1 5 	| -4.364628932668379e-17
7^ 11^ 1 5 	| -0.02653866804004921
9^ 11^ 1 5 	| -0.0026696597158913727
6^ 7^ 2 3 	| 0.02111499956284054
6^ 9^ 2 3 	| 0.0005941832840778463
6^ 11^ 2 3 	| 1.385206559039048e-16
8^ 7^ 2 3 	| 0.0005930888591685409
10^ 7^ 2 3 	| 3.146866688883201e-16
8^ 9^ 2 3 	| -7.15124929844866e-05
8^ 11^ 2 3 	| 8.14119766926206e-17
10^ 9^ 2 3 	| -4.0897444935265594e-18
10^ 11^ 2 3 	| 0.06821085447287617
6^ 8^ 2 4 	| -1.354112010340804e-16
6^ 10^ 2 4 	| 0.03229067389886333
8^ 10^ 2 4 	| 0.003248298788927665
6^ 7^ 2 5 	| 1.1059085295982671e-16
6^ 9^ 2 5 	| -6.6678056272860725e-18
6^ 11^ 2 5 	| -0.007093276675713183
8^ 7^ 2 5 	| 7.87920048394872e-17
10^ 7^ 2 5 	| -0.039377175622304625
8^ 9^ 2 5 	| 3.279949513297292e-17
8^ 11^ 2 5 	| -0.000999830109647216
10^ 9^ 2 5 	| -0.004247733155757619
10^ 11^ 2 5 	| -6.742445423112629e-16
6^ 7^ 4 3 	| -5.024834120404213e-16
6^ 9^ 4 3 	| -1.660975943456053e-17
6^ 11^ 4 3 	| -0.03937716229918988
8^ 7^ 4 3 	| -3.09259267581086e-18
10^ 7^ 4 3 	| -0.007093253375221507
8^ 9^ 4 3 	| 3.830363333565071e-17
8^ 11^ 4 3 	| -0.004247784771593607
10^ 9^ 4 3 	| -0.001000016749388137
10^ 11^ 4 3 	| 4.683801912007763e-17
7^ 9^ 3 5 	| -6.925779791419396e-17
7^ 11^ 3 5 	| 0.03229069670842635
9^ 11^ 3 5 	| 0.003248173541697116
6^ 7^ 4 5 	| 0.7027029745237143
6^ 9^ 4 5 	| 0.08576678373392782
6^ 11^ 4 5 	| 2.847812220952266e-17
8^ 7^ 4 5 	| 0.08584577332896093
10^ 7^ 4 5 	| -1.1708388534785216e-17
8^ 9^ 4 5 	| 0.02329699628370008
8^ 11^ 4 5 	| 3.476251204815815e-18
10^ 9^ 4 5 	| -1.3978445134955121e-18
10^ 11^ 4 5 	| 0.0057451197171080924
6^ 0 	| 2.583013387652749e-17
8^ 0 	| -1.6129590674419165e-16
10^ 0 	| 0.02331518640734212
