Active electrons: 6
Active orbitals: 6
HF energy: -99.80772526444878
Energy minimum: -99.89954953961717

Operator	Amplitude
7^ 1 	| -5.702143041432843e-16
9^ 1 	| -1.250510307054451e-16
11^ 1 	| 0.02331518619389527
6^ 2 	| -4.000213122296632e-16
8^ 2 	| 1.77501045499055e-16
10^ 2 	| -0.02833352581166954
7^ 3 	| 5.957134727019925e-17
9^ 3 	| -4.6699302947254183e-17
11^ 3 	| -0.028333525114701306
6^ 4 	| -0.1854331637389472
8^ 4 	| -0.03685636506068335
10^ 4 	| 1.3148305289165367e-16
7^ 5 	| -0.18543332532939152
9^ 5 	| -0.03685637843367751
11^ 5 	| -3.8882128776977045e-16
