Active electrons: 6
Active orbitals: 6
HF energy: -37.72690767884647
UCCSD energy: -37.820550445031074

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| 0.00040775009356250753
6^ 9^ 0 1 	| 1.3674705465334394e-19
6^ 11^ 0 1 	| -1.2066536292888665e-19
8^ 7^ 0 1 	| 9.088750464126126e-19
10^ 7^ 0 1 	| 2.001703662707454e-18
8^ 9^ 0 1 	| 0.000840778304176474
8^ 11^ 0 1 	| 1.5064998374838678e-19
10^ 9^ 0 1 	| -2.50526038907484e-18
10^ 11^ 0 1 	| 0.0008263549002413079
6^ 8^ 0 2 	| 3.4339629989822197e-19
6^ 10^ 0 2 	| 1.830004199627619e-18
8^ 10^ 0 2 	| -8.538200687626561e-19
6^ 7^ 0 3 	| 0.0008820041124208829
6^ 9^ 0 3 	| 7.810659714093477e-19
6^ 11^ 0 3 	| 6.759867759716961e-19
8^ 7^ 0 3 	| 3.3999283362740437e-19
10^ 7^ 0 3 	| 7.071612006673465e-20
8^ 9^ 0 3 	| 0.0032149801121030453
8^ 11^ 0 3 	| -9.305847776532956e-19
10^ 9^ 0 3 	| 1.4406824132353665e-18
10^ 11^ 0 3 	| 0.003211327176159496
6^ 8^ 0 4 	| 1.0418933598996711e-18
6^ 10^ 0 4 	| 3.974382268456408e-18
8^ 10^ 0 4 	| -9.085453042513599e-20
6^ 7^ 0 5 	| 0.00028717521089829305
6^ 9^ 0 5 	| 7.734031979851439e-19
6^ 11^ 0 5 	| 1.8730235060735792e-18
8^ 7^ 0 5 	| -1.1604589805256467e-18
10^ 7^ 0 5 	| -4.0353195045423876e-18
8^ 9^ 0 5 	| -0.0003419469072719084
8^ 11^ 0 5 	| -2.144754740028586e-19
10^ 9^ 0 5 	| -2.5727023526002614e-19
10^ 11^ 0 5 	| -0.00033653955139372686
6^ 7^ 2 1 	| 0.000881999796037291
6^ 9^ 2 1 	| 3.734905664087103e-19
6^ 11^ 2 1 	| 5.680457692560542e-20
8^ 7^ 2 1 	| 5.575932033618269e-19
10^ 7^ 2 1 	| -1.6799833573376963e-18
8^ 9^ 2 1 	| 0.003214975955783804
8^ 11^ 2 1 	| -1.2847071382796552e-18
10^ 9^ 2 1 	| -1.7184345589811527e-18
10^ 11^ 2 1 	| 0.003211331890324047
7^ 9^ 1 3 	| -5.426640133583745e-19
7^ 11^ 1 3 	| -8.445211074804086e-19
9^ 11^ 1 3 	| 8.48661619786666e-19
6^ 7^ 4 1 	| 0.0002871716739538269
6^ 9^ 4 1 	| 9.550271558276388e-19
6^ 11^ 4 1 	| 9.175294162676028e-19
8^ 7^ 4 1 	| -2.2845367001427187e-19
10^ 7^ 4 1 	| -1.5103497540153543e-18
8^ 9^ 4 1 	| -0.00034194677848138497
8^ 11^ 4 1 	| 1.6611990928286628e-19
10^ 9^ 4 1 	| -1.7466463212007191e-19
10^ 11^ 4 1 	| -0.0003365408955804434
7^ 9^ 1 5 	| -9.680968209913816e-19
7^ 11^ 1 5 	| -1.0801500091561995e-18
9^ 11^ 1 5 	| -1.3085309452626541e-19
6^ 7^ 2 3 	| 0.03556092654593043
6^ 9^ 2 3 	| -1.2580809940647246e-16
6^ 11^ 2 3 	| -7.052059123293546e-18
8^ 7^ 2 3 	| -2.4656915814756915e-16
10^ 7^ 2 3 	| -3.371787156229266e-16
8^ 9^ 2 3 	| 0.25006730554595114
8^ 11^ 2 3 	| 2.9536832270026394e-16
10^ 9^ 2 3 	| 8.055090161604081e-16
10^ 11^ 2 3 	| 0.25187724161959146
6^ 8^ 2 4 	| -1.696406091921944e-17
6^ 10^ 2 4 	| -6.996803964515646e-18
8^ 10^ 2 4 	| -3.4463430119351064e-17
6^ 7^ 2 5 	| 0.0809987845138801
6^ 9^ 2 5 	| 1.6143112982177104e-16
6^ 11^ 2 5 	| 1.1019053792292453e-16
8^ 7^ 2 5 	| -7.114355952268584e-18
10^ 7^ 2 5 	| -6.322121510348521e-17
8^ 9^ 2 5 	| -0.04360009753189682
8^ 11^ 2 5 	| 1.097448306962947e-16
10^ 9^ 2 5 	| -1.4326575592701653e-17
10^ 11^ 2 5 	| -0.04360253219255933
6^ 7^ 4 3 	| 0.08098831940281045
6^ 9^ 4 3 	| -1.10327358808831e-16
6^ 11^ 4 3 	| 3.2624064966767215e-17
8^ 7^ 4 3 	| -3.0310185476645515e-17
10^ 7^ 4 3 	| 5.471451569921381e-17
8^ 9^ 4 3 	| -0.04358995534556296
8^ 11^ 4 3 	| -1.0793645652435508e-16
10^ 9^ 4 3 	| -3.3002245345187875e-18
10^ 11^ 4 3 	| -0.04361291657527905
7^ 9^ 3 5 	| -3.334144870990985e-17
7^ 11^ 3 5 	| -2.602787173256102e-18
9^ 11^ 3 5 	| -3.634343602637147e-17
6^ 7^ 4 5 	| 0.8100812536308033
6^ 9^ 4 5 	| 7.800341165620716e-17
6^ 11^ 4 5 	| 9.099183384086979e-17
8^ 7^ 4 5 	| 9.3495314262715e-17
10^ 7^ 4 5 	| 1.0315668911021339e-16
8^ 9^ 4 5 	| 0.06319069138795687
8^ 11^ 4 5 	| -8.438231658221893e-18
10^ 9^ 4 5 	| 8.211198102770037e-21
10^ 11^ 4 5 	| 0.06317338994121788
6^ 0 	| 0.00026588803297068666
8^ 0 	| -7.737246628855293e-17
10^ 0 	| 7.54223463191129e-16
7^ 1 	| 0.0002658878962229436
9^ 1 	| 2.5332653545098976e-16
11^ 1 	| -1.574915849413564e-17
6^ 2 	| -0.03326780679261097
8^ 2 	| 5.3332036726252325e-19
10^ 2 	| 1.2904740773312932e-17
7^ 3 	| -0.033267803728537236
9^ 3 	| 1.2023632580322124e-17
11^ 3 	| 5.1389237003288705e-17
6^ 4 	| 0.22917169389657077
8^ 4 	| -1.1733225020095935e-16
10^ 4 	| -1.1650249021736802e-16
7^ 5 	| 0.22917145301648298
9^ 5 	| -4.67246893460966e-17
11^ 5 	| -9.78028996762166e-17
